room_id,rt60_target,rt60_achieved,distance_m,replicate,seed,snr_condition,utterance,config_id,delay,taps,stoi,si_sdr_db,runtime_s,numerical_failure,signal_failure,warnings
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,8230-279154-0037,C9,4,30,0.8139813801849307,8.897349117653295,9.167,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,2830-3980-0007,baseline,,,0.8661860894697478,9.351272643549768,,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,2830-3980-0007,C1,2,10,0.8341717215384601,6.68177272266686,1.066,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,2830-3980-0007,C2,2,20,0.8321628719074954,6.558839640680033,1.989,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,2830-3980-0007,C3,2,30,0.8327856654631721,6.577482937043365,7.246,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,2830-3980-0007,C4,3,10,0.8486390490978659,7.699179697717683,1.134,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,2830-3980-0007,C5,3,20,0.8475536413057156,7.660830814789705,2.138,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,2830-3980-0007,C6,3,30,0.8472204397985119,7.679553188571421,6.065,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,2830-3980-0007,C7,4,10,0.8578901749873515,8.814668098614518,1.129,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,2830-3980-0007,C8,4,20,0.8567557985281681,8.749514831732847,2.015,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,2830-3980-0007,C9,4,30,0.8568046451771191,8.786440307459772,5.306,False,False,
